,Title,BodyPart,Equipment,Level,url
629,Partner medicine ball sit-up,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=XR2efvj-O5M
630,Medicine ball Russian twist,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=2_MsoqTpIJ8
631,30 Medicine Ball Slam,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=s7LwfKnjxto
632,Medicine ball twist,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=hRIdAjDs08Q
633,FYR2 Medicine Ball Complex,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=Q4K-p-ZErkc
634,FYR2 Medicine Ball Fire-Feet Drill,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=c9TVHAk19Uc
635,FYR2 Medicine Ball Knees-to-Chest,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=N8IIfs0810M
636,FYR2 Medicine Ball Mountain Climber,Abdominals,Medicine Ball,Intermediate,https://www.youtube.com/watch?v=p8Mr3jb1IJA
637,Decline oblique crunch,Abdominals,None,Intermediate,https://www.youtube.com/watch?v=QM9iwYWUouo
638,Decline sit-up,Abdominals,None,Intermediate,https://www.youtube.com/watch?v=7k0bjxweJJs
639,Hanging Windshield Wiper,Abdominals,None,Intermediate,https://www.youtube.com/watch?v=ygwy2b2marI
640,Exercise Ball Pull-In,Abdominals,Exercise Ball,Intermediate,https://www.youtube.com/watch?v=3R81zuUD_L0
641,Exercise ball crunch,Abdominals,Exercise Ball,Intermediate,https://www.youtube.com/watch?v=s_CXq2gEiUk
642,Feet-elevated crunch,Abdominals,Exercise Ball,Intermediate,https://www.youtube.com/watch?v=9IoEzDmHy70
